what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1384034420808
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1384034420817
os,sysinfo,,,"macosx",1384034420823
arch,sysinfo,,,"x86",1384034420823
ws,sysinfo,,,"cocoa",1384034420823
locale,sysinfo,,,"en_US",1384034420823
processors,sysinfo,,,"4",1384034420823
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384034420823
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1384034420823
java.specification.name,sysinfo,,,"Java Platform API Specification",1384034420823
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384034420823
java.specification.version,sysinfo,,,"1.6",1384034420823
java.vendor,sysinfo,,,"Apple Inc.",1384034420823
java.version,sysinfo,,,"1.6.0_65",1384034420823
java.vm.info,sysinfo,,,"mixed mode",1384034420823
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1384034420823
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384034420823
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384034420823
java.vm.specification.version,sysinfo,,,"1.0",1384034420823
java.vm.vendor,sysinfo,,,"Apple Inc.",1384034420823
java.vm.version,sysinfo,,,"20.65-b04-462",1384034420823
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1384034420830
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1384034421485
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1384034421518
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1384034421660
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1384034421697
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1384034421847
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1384034421978
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1384034422024
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384034438834
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384034438841
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1384034438880
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.ui",1384034452107
